ID,CharName,Dialogue,EventNo,SkipLine,ShowDeath,Clear,Image,Animation,비고
1,•  피곤한 악마 판데모니카  •,지옥 고객센터의 판데모니카라고 합니다.|무엇을 도와드릴까요?,1,,,,0,,스테이지 1 대화
2,•  피곤한 악마 판데모니카  •,지옥을 살아서 빠져나갈 수 있으리라 생각한 거야? 꿈도 크셔라.,,3,TRUE,,0,,
,,판데모니카는 당신의 얼굴을 손아귀로 가져가더니|전문가다운 부드러운 동작으로 목을 꺾어 버렸다.,,,,,-1,,
3,•  피곤한 악마 판데모니카  •,참 달콤한 제안이에요. 커피를 마시고 싶네요.|피곤해서 정신을 못 차리겠어요.,,,,TRUE,1,,
4,•  위대한 파리 베엘제붑  •,조언을 구하고 싶은 모양이지만 물어볼 이가 없구나.,,,,,0,,스테이지 1 조언
,,아직 귀여운 악마들을 찾질 못 했지.,,,,,0,,
,,그리고 얼마나 귀엽던 간에` 난 해설자일 뿐이지.,,,,,0,,
,,가서 하렘에 어울리는 처자를 찾아서 만족할 만한 조언이나 조르게.,,,,,0,,
5,•  음란한 악마 모데우스  •,너랑 나랑. 지금 바로.,2,,,,0,,스테이지 2 대화
6,•  음란한 악마 모데우스  •,다들 그렇게 말하곤... 나중에 도망가려 하더라.|혹시 모르니 무릎을 부숴 놔야지.,,7,TRUE,,0,,
,,모데우스는 커다란 망치를 꺼냈다. 좋은 꼴은 못 볼 것 같다.,,,,,-1,,
7,•  음란한 악마 모데우스  •,악마 하렘? 불쌍한 멍청이... 악마들이 너를 갈가리 찢어 버릴 텐데` 그걸 놓칠 수 없지.,,,,TRUE,1,,
8,•  피곤한 악마 판데모니카  •,우리가 같이 다니기 시작했으니 저도 할 일을 해야겠네요.,,,,,1,,스테이지 2 조언
,,지옥을 거닐면서 의지를 소모하는 것을 알아차리셨나요?|지옥에서 의지가 바닥나면` 사망합니다.,,,,,0,,
,,가시밭을 지난다면 의지는 2배로 소모되죠.|가시밭을 가능한 한 덜 거치는 것이 핵심입니다.,,,,,0,,
,,지옥 고객센터 서비스를 이용해 주셔서 감사합니다.,,,,,0,,
,,받으신 서비스에 만족도를 1점부터 10점까지 점수를 매기신다면` 몇 점인가요?,,,,,0,,점수 기능 추가 해야함
,,설문 감사 드립니다. 언제든지 이용 바랍니다.,,,,,1,,
,,와... 10점은 처음 받네요...,,,,,1,,
9,•  세 쌍둥이 악마 케르베로스  •,인간이야? 진짜 인간이야? 같이 데려가 줘.,3,,,,0,,스테이지 3 대화
